;Author;Date;Rating;Helpful count;Review
185;summer narumi;07/02/19;1;3;Like the other review have pointed out, this place doesn't treat people like people, and for 15 dollars they still serve INSTANT NOODLE type of noodle soup, OVERPRICED and EXTREMELY POOR CUSTOMER SERVICE
186;Jamie;08/02/19;2;2;Food is always decent here, but the servers are getting more and more inexperienced. I came in and requested to be seated at a certain spot, the server immediately gave me attitude. I sat at the table for 10 minutes and no servers even came to ask me if I wanted water or maybe order. All the servers stood in a group chatting, very unprofessional. Seriously, I probably will never come back cause quality of food is not everything. Service is terrible and if you feel uncomfortable, the food just isn’t as great anymore.
189;Jovy Yung;13/02/19;4;0;Delicious broth!
191;Czr Kalajari;15/02/19;4;0;Ramen soup is delicious!! The place is small but comfortable.
192;Ajay Suresh;16/02/19;5;0;Excellent food and service
194;RedVelvet;17/02/19;5;0;Decent ramen in Mississauga. Sadly they don't offer take out. Highly recommend their black garlic tonkotsu ramen. The broth is rich and creamy and it's perfect for the wintery cold days.
195;Andrew Van;20/02/19;5;0;Sansotei is the best ramen spot in Mississauga. However, the space inside is a little cramped, not much they can do about that for where they are I suppose.
197;samuel so;23/02/19;3;0;Small portion, too pricey
198;Theresa Seow;25/02/19;5;0;The ramen took a little long to come out and they gave us 50% off! Totally unexpected but super appreciated! And it was delicious.
201;Eric Bell;01/03/19;3;0;Good
202;Benita Guevarra;01/03/19;2;0;Being at square 1 is a good location but its very small.  Excited to eat but got really disappointed.  The soup is very fatty and salty. The pork belly full of fats and  the taste of the soup is really bad like the smellnofna pig pen. I couldnt eat it! Sorry but this diapoointed me..
205;Alicia Chhin;04/03/19;5;2;The food here is always amazing. The tonkotsu black is an all time favourite. Serving staff were very friendly and priced reasonably. Waiting times are not as bad here as the one downtown. The restaurant is much more spacious.
206;Kristen C;04/03/19;5;0;First time coming to this location, and it does not disappoint.  Love their ramen and slow cooked wings, unfortunately they only had 5 wings left, but they offered us 20% for the missing wing. Service here was great.
207;ちんエミリー（Emily）;04/03/19;5;1;I have nothing bad to say. Great atmosphere and ramen was delicious! Our server was very nice too. She joked with us when we were talking about getting bubble tea after which I felt, made our experience more personal. I had tomato ramen in Hirakata, Japan and it was my absolute favourite thing so I decided to try it here. It was not the same, but still very tasty! It comes with a huge piece of scallop right in the center... SEAFOOD!!! yum. Only thing I didn't enjoy about this dish was that the mushrooms were really sweet, so it was a bit strange. Tried a bit of the broth of the spicy tantan, bracing myself for the burn that would put me out of commission for the rest of the night, but it was also delicious! Not as spicy as I thought (which is good for me), compared to the one at Kenzo (which HURTS, lol). I highly enjoyed this place, especially since the only other one I've been to was in downtown Toronto and I don't get to visit there that often. This one is a lot closer to where I live!
208;Erubus;04/03/19;5;0;Fast and quality sevice. Food arrived in very reasonable time, and was delectable as expected at this chain. The restaurant is small however, so when it's busy expect to wait for a seat in the mall's entrance, where it's drafty from people coming to and fro.
209;Ben Dijong;05/03/19;5;0;Great food
210;Maddy S;07/03/19;5;0;Came here for late lunch in between shopping with a friend. I've only had ramen once before so I wasn't sure what exactly to order. The menu was small and I didn't understand what everything was. The waitress was as helpful as she could be. I ordered the Tonkotsu Black without the fungus (mushrooms). I actually swapped it for corn instead which was amazing! The pork bone broth is delicious, especially with the added garlic oil. I wasn't a fan of the pork belly slice as it didn't have much flavour. If I could just drink the broth everyday, I'd be in heaven. My friend ordered the Spicy Tantan and said it was the best Raman she's ever had. Better than the other popular Raman places nearby (Kenzo Ramen & Kinton Ramen). The only negative thing is the restaurant is quite small, and you'll sit near other customers quite closely. Not a huge deal, but I didn't want to hear the person next to me slurping their food in my ear.
211;Arnnie Torres;09/03/19;2;0;Did not really enjoy our ramen... kinda frustrated... 😔
212;Weicle Wu;09/03/19;5;0;Same taste as the one at dundas street DT. Glad to have it here in mississauga.
215;Dennis N;13/03/19;4;0;Nice cozy place to have sit down and have ramen. It's a good chain ramen shop and it's probably the best ramen restaurant around the Mississauga area, as far as I know. Although the restaurant itself isn't very large, they offer very quick and courteous service.
216;M Chi;14/03/19;4;0;A typical Japanese noodle place, nothing fancy but authentic, sometimes the queue would be long during rush hours
220;Marcello L;17/03/19;5;1;This restaurant serves delicious ramen noodles and the staff is very polite and professional. Try their Miso Black or their Tonkotsu Black. If you have a big appetite, you can ask for extra noodles on the side (for $1.50 or so) and add them into your dish/bowl whenever you feel ready to do so. Their gyoza are also tasty!
223;William Fong;20/03/19;1;0;too much msg
226;Jackie Chiem;25/03/19;5;0;The food here is absolutely tasty. The portions are decent but the broth makes up for it. I ordered the Miso Black which is one of the most flavourful ramens I've had around the GTA. The Zangi fried chicken had a good traditonal asian taste to it. Will definitely be going again.
233;Florence Doe;07/04/19;5;0;Great ramen. Nice staff and calming atmosphere
236;RAP CANA;14/04/19;5;0;Nice reno, young waiter!
237;Rachel Wong;14/04/19;2;0;While the food was just okay (prefer Santouka), service sucked. The staff don't give wait times, don't ask you before the meal if you have allergies or during the meal how things taste/if you want anything else, don't give refills when you have an empty cup, don't clear empty dishes left sitting on the table, and don't bring you your bill. The pork belly in both my shoyu ramen and the bf's tonkotsu black were leaner and tougher than the ones we got from the Toronto location, and the eggs in both at Square One were cold. Didn't tip.
240;R B;16/04/19;5;0;Love this place! It’s great to see this place has gained some popularity over time as the downtown locations are always packed. The tonkotsku black is my favourite and the spicy tan tan is very good as well.
241;zack Tm;17/04/19;3;0;it looks like they cook it differently still love the one on younge st.
242;sage;18/04/19;5;0;I love Sansotei Ramen! I have been here many times and to the Dundas location and the quality is like no other! I love the Tonkotsu Black and the Tomato ramen! Every time I go here the service and food quality are amazing and always want me coming back for more. The zangi is out of this world and better than other ordinary deep fried chicken. I have tried all the ramen on the menu and personally recommend the shoyu for someone first trying ramen and the tonkotsu black if you are looking for something very flavourful! The staff here are very friendly and welcoming, and very knowledgeable about the menu :) Come here if you want fast and friendly service and yummy ramen!
243;Lilly Tran;18/04/19;5;0;The tonkotsu black and spicy tantan are sooo good! The servers are super attentive and friendly! There’s an open space in the corridor that other ramen places don’t have where you can stand. 10/10 would recommend!!
244;ab s;19/04/19;2;3;The staff working here is welcoming and friendly.  They have good knowledge about their products. However I could not eat there because I am alergic to pork. All their menu has pork base and contents. There are no vegan options
245;Ashleigh Samelko;20/04/19;2;0;"Having been to the downtown and North York locations a handful of times each, prior to visiting this location, I can compare. Especially because I always order black tonkotsu. This location was disappointing. I read the reviews before going, and figured I can deal with bad service, but the ramen should be on par with the other locations... Nope, it's not. The service left a lot to be desired as I had read (basically a bunch of college kids standing around the kitchen chatting to one another), plus the ""cook"" forgot to add the black garlic oil to my soup, and the waitress failed to notice, so I was given a small cup of it to pour on the ramen myself. This would have all been ok if the end result was an awesome bowl of ramen, but it was just meh. I tasted the broth before given the black oil, and obviously afterwards. Bland. Even with the oil. Noodles were sub par also. Chasu was decent, but it didn't make up for the bland broth. I wouldn't go back even if Kenzo Mississauga was closed, and really wanted a bowl of ramen. Waste of money. Worth the drive to North York or downtown, or just go to Kenzo."
248;Mitchel;25/04/19;5;0;"Considering I've had REAL ramen in Japan, Sansotei is the only location I can go to for really good ramen without destroying my wallet. Their menu is small, but everything on it is amazing and even after eating the same dish repeatedly I'm still not tired of it. My personal favorite is the Tonkatsu black (see attached pic) with thick noodles and extra egg or extra noodles if I'm really hungry. The flavors are rich and creamy, and the pork is cooked perfectly every time. For about $15 (depending on what extras you add and what you tip), you'll have a solid well-made meal. The service is fast and all the waiters/waitresses are all very patient and kind. If you have any questions on what is in each dish or what soup base they use, they'll gladly answer any questions. On a side note; their takoyaki is also pretty nice, as well as their gyoza if you feel like mixing it up and getting something aside from just ramen."
250;Austin Williams;02/05/19;5;0;Great place for ramen!! It’s rare to find ramen this good in Sauga~
251;Valerie Lin;02/05/19;5;0;Love this place- the food, atmosphere and service are all spectacular. I particularly love the Spicy Tantan ramen. Food is always fresh and the broth is super flavourful. The servers are always very friendly and accommodating every time we visit. Probably the best ramen in sauga :-)
252;Kuilin Chen;04/05/19;5;0;Spicy tan tan is delicious
255;Ray Biss;08/05/19;5;0;Best ramen in Mississauga, I recommend the Tonkotsu Black. However, I do find that the locations in Toronto are a bit better.
257;Flygon;12/05/19;5;0;My favourite ramen place. Originally went to their location on Dundas st but this one is almost as good. Plus it's way closer to me.
258;Mickizure Legacy;12/05/19;5;0;Thanks for the ramen experience! Be back again soon.
259;Jonny Ishi;12/05/19;5;0;The Black Miso Ramen and the Gyoza remind me a lots the taste  when I lived in Japan! Very delicious 👍
260;Paul Pan;14/05/19;4;0;Had been waiting Sansotei to open in Mississauga and finally they did. Came here on a Saturday noon and wait time was 5 min. Ramen was on par with other locations in Toronto. Update: the fact that Ramen have been on price hike in Toronto makes me sad, it's all the same price now.. Noodle is very chewy and what make Sansotei special is I can tell their noodle is hand-pulled and fresh, unlike other ramen restaurants using noodle packs. However their flavours to choose and portion is the worst among other ramen competitors.
262;Elyse Ryder;16/05/19;3;0;Good broth and noodles! The egg was a little little runny - I prefer a seasoned egg with a jammy center. Not a big selection but lot of add options. Fast service and beautiful decor. Would go again.
263;Michael hamilton;16/05/19;5;0;so good - best in town so far
265;Martin Prollamante;17/05/19;4;0;A very good ramen spot in Mississauga. The location is attached to the mall, which makes it convenient. The food is full of flavour. The Tonkastu Black is served with garlic oil, but the garlic is not overpowering. The Zangi (deep fried chicken) is also very flavourful. The portion size is deceptively filling. The service is very friendly and prompt. Overall, the restaurant only gets 4 stars due to the lack of options. Otherwise, it is worth checking out.
267;Ted martin;19/05/19;4;0;Tasty with extra egg
268;Bill Pong;21/05/19;5;0;Ordered the black miso ramen.  Overall the ramen and broth are fine.  Broth could have been hotter.  The egg is.perfectly cooked for my tastes:  yolk is half cooked and runny, egg white is the same.  A previous reviewer commented on the egg being cold - yes its cold cause the egg is soaked in cold water just after cooking to stop it cooking any further - resulting in the semi poached egg... yum.... Will visit again when in the mall....
270;郭Anne;21/05/19;3;1;why our stuff is so less? Only two super thin slices of meat. 😂
271;chikara persaud;23/05/19;3;4;Ordered :Tonkatsu Black w/ thin noodles. The food was a good 4/5 taste wise and service was good but I had one complaint. I've been to Sansotei in Ottawa quite a few times and I've always had a consistent experience. Here, however, I found my piece of pork was terribly small compared to what I usually get. It was basically two paper towel thick slices of pork. I was used to getting two decently thick pieces at least 3x the size of what I got. I was a little disappointed with this. Otherwise, fairly good. I will update this review if next time I go it is different. **See second photo for pork slice thickness**
273;Eric Vaz;24/05/19;4;0;Had the spicy soup. Was really tasty. Had a nice smokey flavour.
274;Rachel;25/05/19;5;0;I love ramen! The tonkotsu ramen is great here and the soft boiled eggs that come with it are just so soft and so good.
276;Oscar Piel;27/05/19;3;0;Very tasty comparable to down town but not there
278;Sarah Yepez;27/05/19;4;0;Pretry good! Fairly priced and quick service
280;Ashley Luciani;28/05/19;1;5;This place has the worst customer service I've experienced in a very long time. They asked us to wait outside the restaurant while we waited for a table. Then when one became available they would not give it to us because they said it sat four people and we were only two. There demeanor was disrespectful so my Fiance and I chose to leave. So they lost customers for the prospect of customers. Will never go back!
282;Bianka F;30/05/19;2;0;Food was not the greatest..  had better ramen elsewhere. Service was good
284;Michael Owens;03/06/19;4;0;I didn't mind this place.  Fast and tasty
286;Jeje Sir;05/06/19;5;0;I have been to this place multiple times and I consistently get good experiences. The food is good and the service is excellent.
287;Christina Lee;06/06/19;5;1;Cozy ramen spot with amazing service - I literally got my noodles five minutes after ordering! Staff were friendly and attentive, and everything is reasonably priced.
288;Angelo M;06/06/19;4;0;Food is very tasty, however a bit on the salty side, so be warned! This place actually was my very first ramen experience and it was pretty good, They do sell extra noodles on the side however I found the portion of noodles for a $13+ ramen to be on the minimal side. Would definitely return based on taste alone.
291;Sherman D'Souza;08/06/19;4;0;Good ramen. Small menu makes it easy to choose.
295;Audrey Petes;15/06/19;1;1;Not a single entree option without pork! Most ramen places will have an option for that but we actually had to leave when we went due to dietary restrictions.
300;Jo Le;21/06/19;2;0;The 2 stars were given for customer service. The portion sizes were very small for the price that they charge. Ive been to sensotei in toronto where I'm sure the rent is expensive as well but broth was hot and it came with more then 1 or 2 piece of meat. The broth was very salty, I think because the broth was not hot enough. Which is the basics for a good ramen place. Otherwise I'm sure the broth would have tasted good. I got extra spicy but the spice level was very overwhelming. The gyoza was good. The beef on rice on the other hand, again the quality of long stringy chewy beef that went on top was very hard for our kids to eat. The taste was good just the quality of meat. Next time we will probably leave square one and drive down the street where there are 2 really good ramen places.
306;Ameer Bassam;28/06/19;5;0;Friendly staff outstanding meals
307;Manley Skeine;01/07/19;5;0;Great
308;Kiet Nguyen;02/07/19;5;0;Got the tomato
312;muangmin detdara;07/07/19;5;1;(Translated by Google) Great food
315;Nguyen Han;09/07/19;3;1;I ordered the original Tonkatsu with thick noodles. The soup was good but the price is high for getting a bowl of noodles with 2 small slices of pork belly. This is the second ramen restaurant I went in Mississauga besides Kenzo ramen. In Kenzo, you can have a big bowl of ramen for just 14.50 bucks. However, the location of the restaurant is very convenient to go. I suggest you guys the Ramine Drink, it just tastes like a soda but it's really funny to drink.
320;Douglas C;19/07/19;5;0;"Authentic Ramen, good place for a quick meal, however, portion is a bit small for a hungry adult, there is a option for ""extra noodle"" and i recommend anyone who have a good appetite."
324;Michael Jackman;24/07/19;5;1;Very enjoyable but I thought the eggs should be marinated. Had the regular tonkatsu with regular toppings, mushrooms gave it a nice crunch, pork was great and tender - cooked to perfection. Broth is great as well, wanted to drink it all. Finally a good ramen place in the Square One area.
326;camnada;27/07/19;5;0;This place had a good view of sunset.
328;Kate Xia;28/07/19;3;0;Taste was fine, but definitely not impressive. Also, the portion was a bit small.
333;Leo Angelo Dacanay;03/08/19;5;0;(Translated by Google) That
339;Jade Matthew;13/08/19;5;0;The ramen here is extremely flavorful with the broth being a deep and hearty one that isnt too heavy and layered with fat. The ramen that is my favourite is shoyu with thin noodles (not much difference from thick), its light but has a really warming and rich flavour, it has to be my favourite place rhus far that I've been to eat ramen.
343;Mi Rama;15/08/19;1;0;I didnt visited ,google map is wrong
345;ゴンちゃん;15/08/19;5;0;(Translated by Google) It was delicious ramen like eating in Japan
346;Bruce Kelly;16/08/19;5;0;Awesome - try the Tomato with thick noodles!
347;Karthik Thani;18/08/19;5;0;Fantastic friendly service with a smile. Yummy food with that Japanese taste. A place for a evening casual date. Highly recommend.
349;Leanzaa;21/08/19;5;1;I came with a group of 5 on a Saturday night, I was told it was half an hour wait, which wasn't too bad. The space is small. The food was pretty good  and the price was worth it. The staff was really nice and helpful. I definitely will be visiting again.
350;Lyse Bakfive;21/08/19;5;0;I just love this place....
352;Kris Buzmion;23/08/19;4;4;A little small location but then again, mostly of ramen places have this a little tight space. Ramen was delicious. You have options to choose from, but comparing to other ramen places I've tried the options is not as many. The broth is very flavorful. Love the tonkatsu. Options to change your pork to chicken. Staff are nice and the place is maintained. Highly recommended for ramen lovers esp in Mississauga area!
356;Harris Madriaga;25/08/19;5;0;Best ramen period.......
357;Sharon Mai;25/08/19;5;0;Great food, great service! It is a small location though, so you might have to wait to be seated but it's  definitely worth it!
358;Derek Leung;25/08/19;5;0;I had the Tonkatsu Black and the zangi and both were great. Would definitely be coming back again.
360;Sam Sabapathy;30/08/19;3;2;Ramen is inconsistent here. Some days it's pretty good, on others, the same Ramen not so good. Service is very good, with friendly staff.
362;K L;31/08/19;5;0;So good ! Clean cute place and staff are friendly. The ramen is so good I got the spicy tantan with thin noodles and I would order it again.
364;Shalini Santhanasamy;01/09/19;5;0;Super Delicious. Two words for their ramen and zangi chicken. Their ramen broth is rich and tasty.
368;Annie H;05/09/19;5;0;Broth is so delicious for a decent price. Best ramen in town
371;Nav Wirach;09/09/19;5;0;Ordered the spicy tantan, the slow cooked wings along with the gyoza. Delicious ramen and sides, flavourful broth. Very reasonable price!
372;aous poules;09/09/19;5;0;I got the black miso and rice with beef. Great combo and really feeling!  Great service too. Thank you!
373;Yeimi Pena;09/09/19;4;0;The food was fresh, good and flavorite. The service was efficient and the kind. I recommend this place for a delicious ramen.
374;Kevin Luong;10/09/19;4;0;Awesome dark garlic ramen
375;Christopher Stinson;11/09/19;5;0;One of the best ramen spots in the GTA
378;Martin Nolan;13/09/19;5;0;Great ramen always friendly service
381;pilyokid;14/09/19;5;0;Love their dark tonkatsu ramen, place is small but worth the wait
383;Ivan W;15/09/19;5;0;One of the best ramen places in Mississauga. Very convenient, especially before or after shopping at SQ1.
385;Pattys Pins (Patty Alexandre);22/09/19;5;0;Great service! Fast and SUPER DELICIOUS! Love that they use yelp and a waitlist system! Such a chic look! I think my only complaint is that it's a small location
388;Joshua Williams;24/09/19;5;0;Just like the one downtown. Great bowl of ramen
391;Rosana Lo;29/09/19;4;0;There is usually a wait of 30 minutes on weekend after 7:00pm, mainly ramen. The food is quite tasty, normal expense is $$
393;Lanie Bart;01/10/19;4;0;Very clean and affordable
394;sampath gune;01/10/19;5;0;Mouth watering foods
395;Mallory Bonpua;04/10/19;5;0;Authentically delicious.
396;dan B;05/10/19;1;0;This place is lowest of low quality
397;lurdinha Capas sofás sob medidas;06/10/19;4;0;(Translated by Google) Cool
398;tin tran;06/10/19;5;0;Verry good food
399;Laly Anto;06/10/19;4;0;Good place
401;Anumol Philip;08/10/19;4;0;Its good
403;Carizza Malinay;09/10/19;5;0;Good customer service, we love miso ramen, nice and quiet, i highly recommend this place
404;Saima Samuel;09/10/19;3;1;Has a busy and rushed atmosphere like any other Asian restaurant. The ramen wasn’t what I was hoping for, but wasn’t the worst either
405;Irene T;09/10/19;4;1;Sansotei has always been consistent and easily accessible. Delicious ramen as always but too much noodle, not enough cha siu and too salty. Their zangi (deep fried chicken) is really tender and juicy but not as flavourful as I'd like.
407;Benjie Lopez;12/10/19;5;0;Nice ramen....
409;Yan Yan Zhu;14/10/19;5;0;Sansotei offered a fantastic dinning experience. Wandered into the restaurant on a Thursday night, around 630 pm. We were quickly greeted and seated by friendly staff. She was very knowledgeable and when asked, she was very help in coming up with suggestions for our dinner. We ordered a tonkotsu (with extra noodles) and spicy tan tan, both with less salt. As for side dishes, we got an order of Zangi and Gyoza. Amazing food!! I highly recommend it!
410;Briana Leigh;14/10/19;5;0;Best ramen in mississauga! And the staff is so friendly.
414;Serena S;19/10/19;5;0;Flavourful broth, chewy noodles and nicely seasoned chashu - the Tonkatsu Ramen is always my go-to.
416;Christina Ha;20/10/19;5;0;Good ramen but limited choices in the menu. Small place right infront of Su & Bu.
419;R A;22/10/19;2;1;Came here for lunch and ordered the Shoyu. Only had a few slivers of meat, and when I say slivers, I mean anorexic thin 😭!! Even my date agreed that there was a scarcity of meat in their bowl compared to the other garnishings and noodles itself, which to me seems cheap and is not worth $12. I've had better ramen in Willowdale so this place does not even compare. Won't be coming back and would not recommend unless you want to waste your time.
420;Joanna “y0ungst3r” Buluran;23/10/19;3;0;It was good, but when I was eating I found two pieces of short hair on my ramen. So don't know if I will eat here again, but please watch this please. Shouldn't have this on food.
421;Ann Wu;24/10/19;2;0;Excellent service​ 👍. . I ordered​ Tonkotsu Black​ which only had 2​ 1/2 small pieces pig urine smell pork belly , so disgusting. The broth​ was light which was very eclipsed compared with Toronto Sansotei Ramen . They need to improve their food quality and portion.
422;Clam;24/10/19;4;0;"One of the better ramen places in Mississauga. Good hearty tonkatsu broth. You can choose the thickness of your noodles. I prefer thick but it's not crazy thick, maybe like approx. 4mm? Meat is okay, tasty but thin. Service is relatively fast. Tables are clustered quite closely together that you can easily overhear people's conversation without trying to. But that's kind of normal in most ramen shops. Previously you would put your name down with a server on a list but now they have updated to Yelp waitlist. As of today, you can not put yourself in line remotely; you have to add your name to the list via tablet outside the restaurant. This is a welcomed change because you leave your cell # and can walk away and get text updates or watch the list on your phone."
425;Billy Walters;26/10/19;2;0;Expensive AF. 😒
431;Sean Adver;02/11/19;5;0;Came eat here a lot of times. Just love the taste of the noodles and soup here. Umami flavor with tasty toppings. Just a incredible place to
433;Tony Ma;03/11/19;4;0;Very good ramen
437;Akash Chokshi;04/11/19;5;0;Unreal! Try the second thing on their menu .. You’ll love it!
440;Kirby;06/11/19;5;0;The tomato ramen is my favourite ramen EVER! I've tried every place and this one is the best. The staff is ok, you can tell they are not very experienced.
442;LIEZL KHO;07/11/19;5;0;The best ramen in town!
445;Augi Park;09/11/19;5;0;Great food. A bit of a wait though. Went Saturday lunch.
446;C M;10/11/19;4;0;Great authentic ramen!
447;Giuseppe Woods;10/11/19;5;0;One of the best in Mississauga. Great staff too!
448;Ray GG;11/11/19;3;1;(Translated by Google) The soup is generally tasteless, and the noodles are also average, generally not recommended. Give Samsung all because of the service.
450;bloodakamaru;13/11/19;5;0;Great place to satisfy your ramen cravings, easy to access since it's located in square one
455;Chantall Wire Creations;17/11/19;5;0;Excellent Ramen!
456;Massimo Giallo;18/11/19;3;1;Sansotei Ramen is balanced considering its price, flavour, toppings and portions. The Tonkotsu ramen doesn't leave me feeling super full, just content. The broth was not too salty and it has simple toppings of fungus, creamy eggs and two thin slices of pork belly. My friend prefers the Shoyu ramen. We could have done without the Zangi appetizer, which came after our noodles, good portions and had a crunchy outside but were a little dry and needed more taste. Left with only a couple options, it is one of the few places for good ramen in Mississauga. A small place, here on a busy Friday night and siting at the tables close by the servers area, it remained pretty loud. Wished we could have sat further away from their desk if that would help... loud, little service, tight.. Decent ramen but (if you have a choice) better locations.
461;Danica A;26/11/19;4;0;Not spicy..but great ramen!
464;Alex Liu;30/11/19;5;0;Great ramen. Firm noodles, delicious broth, and very generous toppings!
467;Alysse S;01/12/19;4;1;Soup could have been hotter. But solid and IMO better than Kinton.  Staff is very nice and the music was a vibe!
469;tania martina;07/12/19;4;0;Taste good. Limited space, the table was so packed. This is not the place for spending time to hang out, talking with colleague as other customers are waiting for the table.
474;USER USER;15/12/19;5;0;The Tonkatsu Black Ramen is a great reason to be alive, I cannot recommend this place enough.
476;Yin Na;18/12/19;4;0;Really good miso ramen and cheesecake!!
479;Raymond H;22/12/19;4;0;Decent ramen and very efficient service.
482;Eddie Castro;26/12/19;5;0;"Best ramen ༼;´༎ຶ ۝ ༎ຶ༽"
486;MissY N;30/12/19;4;0;Food consistently good. Ambience not so authentic anymore, very different from downtown locations. IPad reservations handy
487;Jenny H;30/12/19;4;0;Ramen was good.  Wait time was about 15-20 minutes on a Monday afternoon at 2pm. You enter your name and phone number on the iPad at the entrance, and will get a text message when it's close to your turn.  This place seems to be constantly busy even outside of regular lunch time. It would be nice if the restaurant could be a little bigger.
488;Jeffrey Qiu;02/01/20;4;0;"Great ramen and reasonable prices. Offers both thin and thick noodles (I would consider them on either end of ""regular"" sized ramen noodles). However, the menu is very small and differs from other Sansotei locations. Also the restaurant is small and there is almost always a wait (especially during peak hours). You can sign up for a waiting list outside that will let you know where you are in the queue. Take this into account when timing and fill it out a bit before you actually want to eat."
494;Beini Wang;04/01/20;3;0;Broth was a tad too salty for my liking
495;Peter;04/01/20;2;2;Unfortunately it doesn’t meet the same level as Kinton and Kenzo. Food was below average. Minus 1 star for unhappy service staff.
496;Jonathan Wu;05/01/20;4;0;The noodle is bouncy and full of spirit. Broth is thick and nicely balanced with miso. Chasu needs a bit more work.
497;Virginia Mathews;05/01/20;1;0;Worst ramen ever. Walked out.
498;Adrian Chang;05/01/20;5;2;If you have been to any of the other Sansotei ramen locations downtown you know what you are looking for. Sansotei is one of my favourite ramen stores in the GTA, it is really good and I just came back from Japan 3 months ago! I got the Miso Black with thick noodles which was very tasty and flavourful. The egg was perfectly cooked but I did find the broth to be a little thicker (compared to Japan ramen, this isn't a bad thing just different). We also got the spicy slow cooked wings, they are a tad spicy so just be aware. The meat was super tender and soft. These aren't like your wings from All Star Wings, Wild Wings or any other chain. These are slow cooked in sauce, they are not breaded or deep fried. Worth a try if you like chicken wings and spice, it came with 5 wings when we ordered it!
501;Vicki Leung;06/01/20;4;0;Decided to try the Sansotei at the Square One location after an appointment across from Square One today. I had the tomato ramen and their new gyoza (negi shota gyoza? I forget...One of the words means green onions). The food tasted good. Nothing special about the gyoza, but it does have some green onions inside as opposed from just meat, and tonnes of green onions scattered on top (I put the leftover green onions into my ramen broth). I was pleasantly surprised about the size of the Hokkaido scallop in my ramen (the large thing in the middle of my bowl in the pictures). I finished the meal off with a slice of mango cheesecake (not made in house). It was alright (tasted fine, just not sure I would pay $3.50 for the small slice again).
503;James Fung;08/01/20;3;0;Portions are getting smaller than before.
504;Alka Verma;11/01/20;5;2;After reading about such great reviews about this restaurant we decided to  try this out in Square one was not too. sure as I’m not too fond of Ramen The menu was short and bang on only their specials Came here at 8 pm and the restaurant was quite full on a Monday evening Our server had us seated and what caught my eye was different colours of serving bowls for different flavours We asked the server about their best and high selling Ramens She advised us Spicy Tantan and Tonkatsu We also ordered a helping of Gyozas too The service was was quick and we got our soup within 7 minutes without the gyozas which was to come later Appetizers after the meal so we requested the server to cancel the Gyoza order which she did thankfully and we ordered a fried chicken for our friend who didn’t eat pork The Ramen tasted super awesome I ordered as I preferred the Spicy Tantan which comes with ground pork and pork belly Could taste garlic and sesame flavours  Absolutely loved it The other Ramen Tonkatsu was excellent too Both of them were the best ramens I ve ever eaten The interiors and the service was good too. Recommended as one of the best ramen places in GTA
506;jilliane baquiran;11/01/20;5;0;Food was amazing!
512;Avhoy “Charles” Gomes;18/01/20;4;0;Good food long waitlist good prices
513;Suzy;19/01/20;5;0;Best Ramen in Mississauga!!
515;Lam Duy;21/01/20;5;0;One of the best Ramen restaurant I've ever had in Mississauga. The soup is tasty but a little bit too strong, but the noodle, pork and eggs are superb delicious. The service here is quite good. This place is clean and bright, located near Walmart in Square One. Will come back here again for another Miso Black Ramen.
516;S;21/01/20;3;0;Decent ramen, sub-par servers.
518;Hayley Lee;21/01/20;4;0;They have good ramen with reasonable prices. I wish their portion was larger.
520;Theodore Callender;25/01/20;5;0;A few friends and I decided to grab ramen for dinner while we were out and were not disappointed. The broths of our different dishes were all quite rich, the flavours were well balanced, and the price and overall portions were modest as well. The customer service was good as well, definitely would recommend!
522;Kevin N Bridget Mendonca;25/01/20;4;0;Food selection of Food
529;Ando Oomae (大前安藤);03/02/20;1;1;I was eating ramen and when I ate my egg, there was still an egg shell stuck to it. Everything is over priced for the little portion you get. Servers are rude and you need to call them in order to put your order in.
530;Ahmed AL-Gaity;03/02/20;1;2;I work in the same mall as this place and they have you wait 5 minutes for my food, so if I’m at work and want to call in to place my order so I can have it ready in time for my break, but they won’t take phone take out orders even if I’m a regular and force you to get an app just so you can get the same service as you calling in and placing your order. Also do not know what’s going on with their portions but they’d been getting smaller since I started being a customer.
533;alex lobal;05/02/20;4;0;Very good but lack enough options, would like 1 more app or soup option.
535;Cindy Aramburo;08/02/20;5;0;Food are amazing and the staff are nice
539;Minnie C;10/02/20;5;0;Fresh meals made to order and staff is great.
540;Cindy;10/02/20;5;0;First time I came here I started to love this place! I always bring my friends to try it out and see what they think.
541;Jim;12/02/20;5;1;The Ramen we ordered was outstanding , it’s a small place but we enjoyed the dinning experience except the cooks were very loud in their conversations with servers and were laughing out too loud , they need some customer service training as the kitchen is open .
546;Yvonna Xu;17/02/20;1;1;Really bad service. So disappointed.
547;Kelvin Wong;18/02/20;4;0;food is great but the seating is quite tight. also no bar stool seating so not as authentic as real ramen bar in Japan.
550;Lemuel Cang;20/02/20;4;0;I ordered the shoyu bowl, my friend ordered tonkotsu. They both looked almost identical, aside from my friend ordered extra pork. They tasted exactly the same. So im pretty sure i was given the wrong order, but i just wanted good food. And it was. Price is reasonable.
554;Tee Le;24/02/20;5;0;With all the ramen places that open up in Mississauga. I would have to say this place has the best ramen.
557;Francisco Felix;25/02/20;5;0;First visit to Sansotei... I have officially become a fan!!! Menu is small but straight to the point... Very good ramen... Quality is top notch... Staff is friendly and always eager to help... 100% recommended!
